airline,nb_bumped,total_passengers,bumps_per_10k
HAWAIIAN AIRLINES,122,899711162,0.0013559907351688497
VIRGIN AMERICA,242,653694106,0.0037020373562921495
FRONTIER AIRLINES,1228,1314944833,0.009338794823797753
SOUTHWEST AIRLINES,18585,11711051858,0.015869624885406258
SPIRIT AIRLINES,2920,1722199636,0.016955061068193143
ALASKA AIRLINES,1392,365431221,0.03809198338857862
SKYWEST AIRLINES,3094,470917378,0.06570154648232157
DELTA AIR LINES,679,99796155,0.06803869347471353
UNITED AIRLINES,4941,714412086,0.06916176387307087
DELTA AIR LINESS,912,97237060,0.09379140011020488
AMERICAN AIRLINES,11115,1091498064,0.10183252143633668
EXPRESSJET AIRLINES,3326,278586787,0.11938828958173095
JETBLUE AIRWAYS,3615,287163319,0.1258865516873344
